Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn,,,tps, kB_read/s, kB_wrtn/s,kB_read,kB_wrtn
sda               1.50         2.00        10.00          4         20,,,1.5,2,10,4,20
sda               7.00        32.00        16.00         64         32,,,7,32,16,64,32
sda               0.00         0.00         0.00          0          0,,,0,0,0,0,0
sda               0.00         0.00         0.00          0          0,,,0,0,0,0,0
sda               6.00         0.00        42.00          0         84,,,6,0,42,0,84
sda               0.00         0.00         0.00          0          0,,,0,0,0,0,0
sda               0.00         0.00         0.00          0          0,,,0,0,0,0,0
sda               1.50         8.00        10.00         16         20,,,1.5,8,10,16,20
sda               0.00         0.00         0.00          0          0,,,0,0,0,0,0
sda               1.00         0.00        12.00          0         24,,,1,0,12,0,24
