Device:            tps    kB_read/s    kB_wrtn/s    kB_read    kB_wrtn,,tps, kB_read/s, kB_wrtn/s,kB_read,kB_wrtn
sda              27.50         0.00        70.00          0        140,,27.5,0,70,0,140
sda              74.00         2.00       476.00          4        952,,74,2,476,4,952
sda              41.50         0.00        96.00          0        192,,41.5,0,96,0,192
sda              40.00         0.00       110.00          0        220,,40,0,110,0,220
sda              55.50         0.00       190.00          0        380,,55.5,0,190,0,380
sda              41.50         0.00       116.00          0        232,,41.5,0,116,0,232
sda              42.50         0.00       100.00          0        200,,42.5,0,100,0,200
sda              43.50         0.00       130.00          0        260,,43.5,0,130,0,260
sda              81.00         0.00       298.00          0        596,,81,0,298,0,596
sda              29.00         0.00        84.00          0        168,,29,0,84,0,168
