,,tps, kB_read/s, kB_wrtn/s,kB_read,kB_wrtn
sda              55.00         0.00       140.00          0        140,,55,0,140,0,140
sda              57.00         0.00       192.00          0        192,,57,0,192,0,192
sda              55.00         0.00       140.00          0        140,,55,0,140,0,140
sda              55.00         0.00       140.00          0        140,,55,0,140,0,140
sda              55.00         0.00       140.00          0        140,,55,0,140,0,140
sda              55.00         0.00       140.00          0        140,,55,0,140,0,140
sda             101.00         0.00       372.00          0        372,,101,0,372,0,372
sda             118.00         4.00       852.00          4        852,,118,4,852,4,852
sda              64.00         0.00       160.00          0        160,,64,0,160,0,160
sda              58.00         0.00       144.00          0        144,,58,0,144,0,144
,,,,,,
,,,,,,
,,,,,,
iostat every 1 sec for 50 times calculation.,,,,,,
mnmosyne coarse grained ran for 50 times manually with 1 thread only doing single insert operation.,,,,,,
Middle 10 observations taken,,,,,,
