Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util,,await,r_await,w_await
sda               4.00    10.00    2.00   10.00    24.00    72.00    16.00     0.20   16.67   32.00   13.60  13.33  16.00,,16.67,32,13.6
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               0.00    23.00    0.00   42.00     0.00   748.00    35.62     0.95   22.67    0.00   22.67   7.81  32.80,,22.67,0,22.67
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               3.00     0.00    1.00    0.00    16.00     0.00    32.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
sda               0.00     2.00    0.00    2.00     0.00    16.00    16.00     0.02    8.00    0.00    8.00   8.00   1.60,,8,0,8
sda               0.00     0.00    0.00    0.00     0.00     0.00     0.00     0.00    0.00    0.00    0.00   0.00   0.00,,0,0,0
