Device:         rrqm/s   wrqm/s     r/s     w/s    rkB/s    wkB/s avgrq-sz avgqu-sz   await r_await w_await  svctm  %util,,await,r_await,w_await
sda               0.00     0.00    0.00   55.00     0.00   140.00     5.09     0.27    4.95    0.00    4.95   4.95  27.20,,4.95,0,4.95
sda               0.00     0.00    0.00   12.00     0.00    24.00     4.00     0.10    8.33    0.00    8.33   8.33  10.00,,8.33,0,8.33
sda               0.00     6.00    0.00  114.00     0.00   316.00     5.54     0.61    5.33    0.00    5.33   4.95  56.40,,5.33,0,5.33
sda               0.00     0.00    0.00   35.00     0.00    72.00     4.11     0.20    5.60    0.00    5.60   5.60  19.60,,5.6,0,5.6
sda               0.00     0.00    0.00   89.00     0.00   236.00     5.30     0.43    4.81    0.00    4.81   4.81  42.80,,4.81,0,4.81
sda               0.00    39.00    0.00  104.00     0.00   712.00    13.69     0.38    3.58    0.00    3.58   3.19  33.20,,3.58,0,3.58
sda               0.00     0.00    0.00   37.00     0.00   204.00    11.03     0.24    6.59    0.00    6.59   6.49  24.00,,6.59,0,6.59
sda               0.00     0.00    1.00  111.00     4.00   284.00     5.14     0.60    5.39   28.00    5.19   5.14  57.60,,5.39,28,5.19
sda               0.00     0.00    0.00   50.50     0.00   134.65     5.33     0.36    7.14    0.00    7.14   7.22  36.44,,7.14,0,7.14
sda               0.00     0.00    0.00   30.00     0.00    56.00     3.73     0.16    5.33    0.00    5.33   5.33  16.00,,5.33,0,5.33
